Name,Team,KPer9,BBPer9,KPerBB,HRPer9,KRate,BBRate,KBBRate,AVG,WHIP,BABIP,LOBRate,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Joe Smith,MIN,6.57,1.46,4.50,0.00,20.0%,4.4%,15.6%,.186,0.81,.235,90.0%,0,53,74,0.00,2.12,-2.12,2.90,2.50,3281
Shohei Ohtani,LAA,12.44,2.11,5.89,0.70,34.0%,5.8%,28.2%,.205,1.02,.300,78.2%,76,52,61,2.82,2.12,0.69,2.41,2.40,19755
David Bednar,PIT,12.15,1.35,9.00,0.90,38.0%,4.2%,33.8%,.132,0.60,.179,100.0%,23,58,60,0.90,2.14,-1.24,2.23,1.61,19569
Dylan Cease,CHW,13.81,3.50,3.94,0.62,36.8%,9.3%,27.5%,.207,1.17,.330,77.4%,85,52,66,3.09,2.15,0.94,2.59,2.52,18525
Erik Swanson,SEA,13.50,0.64,21.00,1.29,39.6%,1.9%,37.7%,.192,0.79,.276,100.0%,37,55,41,1.29,2.16,-0.88,1.69,1.20,16587
Chris Stratton,PIT,8.79,3.14,2.80,0.00,20.6%,7.4%,13.2%,.302,1.67,.388,58.3%,127,59,102,5.02,2.18,2.84,3.92,3.58,13761
Hector Neris,HOU,9.50,1.00,9.50,0.50,28.8%,3.0%,25.8%,.159,0.67,.209,77.6%,56,55,86,2.00,2.20,-0.20,3.33,2.61,11804
Brady Singer,KCR,10.66,0.71,15.00,0.71,30.0%,2.0%,28.0%,.229,0.95,.313,77.6%,76,57,51,2.84,2.22,0.62,2.07,1.83,25377
Collin McHugh,ATL,11.40,2.40,4.75,0.60,30.2%,6.3%,23.8%,.254,1.27,.359,68.2%,103,61,80,4.20,2.22,1.98,3.02,2.56,7531
Clayton Kershaw,LAD,9.60,0.90,10.67,0.60,29.4%,2.8%,26.6%,.181,0.73,.239,84.2%,46,60,65,1.80,2.22,-0.42,2.42,2.42,2036
Bryan Abreu,HOU,13.25,3.06,4.33,0.51,35.1%,8.1%,27.0%,.242,1.25,.385,75.2%,85,57,62,3.06,2.24,0.82,2.45,2.14,16609
Anthony Bass,MIA,9.72,1.62,6.00,0.54,28.1%,4.7%,23.4%,.180,0.84,.238,71.4%,42,62,74,1.62,2.25,-0.63,2.80,2.49,7982
Tyler Kinley,COL,9.42,3.14,3.00,0.00,25.4%,8.5%,16.9%,.189,1.05,.263,75.0%,14,58,87,0.63,2.25,-1.62,3.32,3.05,18297
Jeffrey Springs,TBR,8.31,1.25,6.67,0.42,25.3%,3.8%,21.5%,.184,0.78,.236,83.3%,48,59,77,1.66,2.26,-0.60,3.00,2.88,17677
Adam Ottavino,NYM,14.11,3.68,3.83,0.61,34.8%,9.1%,25.8%,.220,1.30,.343,69.9%,115,63,65,4.30,2.27,2.02,2.42,2.29,1247
Joel Payamps,KCR,7.36,1.96,3.75,0.00,20.3%,5.4%,14.9%,.246,1.15,.315,81.8%,39,58,96,1.47,2.27,-0.80,3.71,3.28,14332
Pablo Lopez,MIA,9.39,2.15,4.36,0.39,27.0%,6.2%,20.8%,.186,0.91,.248,84.2%,41,63,77,1.57,2.29,-0.72,2.90,3.08,17085
Paul Blackburn,OAK,7.23,1.49,4.86,0.21,20.7%,4.3%,16.5%,.223,0.99,.279,81.3%,54,59,73,1.91,2.29,-0.37,2.86,3.22,14739
Trevor Williams,NYM,9.00,1.20,7.50,0.60,22.1%,2.9%,19.1%,.303,1.47,.380,63.1%,112,65,74,4.20,2.36,1.84,2.78,2.94,16977
MacKenzie Gore,SDP,9.93,2.79,3.56,0.31,27.1%,7.6%,19.5%,.241,1.21,.333,83.8%,56,64,81,2.17,2.37,-0.19,3.06,3.20,22201
Corbin Martin,ARI,8.79,3.77,2.33,0.00,22.2%,9.5%,12.7%,.263,1.47,.349,57.1%,108,65,103,4.40,2.39,2.00,3.94,3.73,19884
Martin Perez,TEX,6.93,2.19,3.17,0.00,19.9%,6.3%,13.6%,.209,0.99,.266,74.5%,45,61,93,1.64,2.40,-0.76,3.58,3.63,6902
Julian Merryweather,TOR,9.26,0.77,12.00,0.77,24.5%,2.0%,22.4%,.250,1.11,.314,34.5%,182,61,66,6.94,2.40,4.54,2.60,2.37,16703
Rafael Montero,HOU,9.92,2.20,4.50,0.55,28.6%,6.3%,22.2%,.186,0.92,.250,88.2%,15,61,67,0.55,2.42,-1.87,2.64,2.46,12760
