Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,playerid
Erik Swanson,SEA,0,0,1.29,13,0,0,0,0,3,0,14.0,53,10,2,2,2,1,0,0,0,0,21,16587
Keegan Akin,BAL,1,0,1.33,11,0,0,0,0,1,0,27.0,100,16,4,4,1,5,0,0,1,0,22,19362
Joe Barlow,TEX,1,0,1.35,13,0,0,0,7,0,0,13.1,52,7,3,2,2,4,0,1,0,0,15,22296
David Robertson,CHC,1,0,1.38,12,0,0,0,5,0,0,13.0,49,3,2,2,1,6,0,0,0,0,19,8241
Wandy Peralta,NYY,1,0,1.38,11,0,0,0,0,2,1,13.0,50,8,2,2,0,5,0,0,0,0,8,14295
Michael King,NYY,2,1,1.40,12,0,0,0,1,5,1,25.2,94,17,5,4,1,4,1,0,1,0,37,19853
Jorge Lopez,BAL,3,2,1.42,17,0,0,0,4,0,2,19.0,80,10,5,3,0,12,0,0,1,0,20,14527
Joel Payamps,KCR,1,1,1.47,11,0,0,0,0,0,0,18.1,74,17,4,3,0,4,1,1,0,0,15,14332
Scott Barlow,KCR,2,1,1.47,16,0,0,0,4,3,1,18.1,68,11,4,3,2,5,1,0,1,0,16,14993
Jackson Stephens,ATL,0,1,1.50,7,0,0,0,1,0,0,12.0,52,11,6,2,1,4,1,0,0,0,13,14420
Jaime Barria,LAA,1,0,1.50,6,0,0,0,0,0,0,18.0,70,13,4,3,2,2,0,1,0,0,14,18356
Colin Poche,TBR,0,0,1.50,13,0,0,0,0,7,0,12.0,42,5,2,2,2,2,0,0,0,0,10,19403
Nabil Crismatt,SDP,2,0,1.53,10,0,0,0,0,1,0,17.2,70,10,3,3,0,6,0,1,0,0,14,17732
Drew Smith,NYM,0,1,1.53,16,0,0,0,0,10,0,17.2,68,9,3,3,2,8,0,0,0,0,20,17755
A.J. Minter,ATL,0,0,1.53,18,0,0,0,0,7,0,17.2,66,9,3,3,0,4,0,1,1,0,27,18655
Aaron Loup,LAA,0,2,1.62,17,0,0,0,0,7,1,16.2,65,8,7,3,1,2,0,2,0,0,17,10343
Anthony Bass,MIA,1,1,1.62,17,0,0,0,0,8,0,16.2,64,11,5,3,1,3,0,0,1,0,18,7982
Jalen Beeks,TBR,1,0,1.72,9,0,0,0,0,0,0,15.2,58,9,3,3,2,4,0,0,1,0,17,17192
Jeff Hoffman,CIN,0,0,1.83,13,0,0,0,0,0,0,19.2,79,16,5,4,1,6,0,0,0,0,19,17432
Oliver Ortega,LAA,1,1,1.83,13,0,0,0,0,1,0,19.2,74,13,4,4,1,8,0,0,0,0,13,21025
Chase De Jong,PIT,1,0,1.84,8,0,0,0,0,0,0,14.2,60,8,5,3,2,5,0,1,2,0,9,15036
Matt Moore,TEX,1,0,1.86,12,0,0,0,0,1,0,19.1,86,15,5,4,0,13,1,0,2,0,23,1890
Alex Lange,DET,0,1,1.88,17,0,0,0,0,4,0,14.1,56,7,3,3,0,5,0,1,3,0,16,19883
Luis Cessa,CIN,2,0,1.88,12,0,0,0,0,2,0,14.1,54,8,3,3,0,4,0,1,0,0,11,13345
Matt Strahm,BOS,2,1,1.88,17,0,0,0,1,4,0,14.1,54,7,4,3,0,3,0,1,0,0,15,13799
Hector Neris,HOU,1,2,2.00,19,0,0,0,0,6,0,18.0,66,10,4,4,1,2,0,1,1,0,19,11804
John Brebbia,SFG,1,0,2.00,17,0,0,0,0,3,0,18.0,69,13,4,4,0,4,0,0,0,0,19,12777
Jake Woodford,STL,1,0,2.08,7,0,0,0,0,0,0,13.0,53,11,4,3,0,6,0,0,2,0,9,18674
Bryse Wilson,PIT,0,1,2.08,3,0,0,0,0,0,0,13.0,55,11,7,3,1,3,0,0,0,0,12,19990
Tim Mayza,TOR,2,0,2.08,15,0,0,0,0,7,1,13.0,51,11,3,3,1,2,0,0,0,1,13,15042
Edwin Diaz,NYM,1,0,2.12,17,0,0,0,9,0,2,17.0,67,10,4,4,3,8,0,0,0,0,32,14710
Adam Cimber,TOR,4,2,2.12,18,0,0,0,3,5,2,17.0,64,11,6,4,1,3,0,1,0,0,13,15288
Will Vest,DET,0,1,2.12,14,0,0,0,1,0,0,17.0,60,7,4,4,2,4,0,1,1,0,22,19769
Emilio Pagan,MIN,0,1,2.13,13,0,0,0,6,1,1,12.2,59,10,5,3,3,10,0,0,0,0,16,14771
Dillon Tate,BAL,0,2,2.21,18,0,0,0,1,6,0,20.1,79,15,7,5,1,3,0,2,2,0,14,17796
Erasmo Ramirez,WSN,0,0,2.25,12,0,0,0,0,0,0,16.0,66,15,6,4,2,1,1,2,0,0,12,10314
Austin Davis,BOS,1,1,2.30,16,0,0,0,0,1,1,15.2,66,13,4,4,2,6,1,1,0,0,19,17117
Steven Okert,MIA,2,0,2.31,16,0,0,0,0,5,1,11.2,48,5,3,3,1,7,0,2,0,0,17,13580
Matt Wisler,TBR,2,1,2.40,14,0,0,0,0,2,2,15.0,63,13,10,4,2,5,1,0,1,0,11,12804
Taylor Clarke,KCR,1,0,2.45,15,0,0,0,1,3,1,14.2,61,16,7,4,2,0,0,0,0,0,11,17611
Aaron Ashby,MIL,0,2,2.45,6,0,0,0,1,1,0,14.2,60,12,4,4,0,4,0,0,1,0,21,23550
Seranthony Dominguez,PHI,2,1,2.45,15,0,0,0,0,6,0,14.2,59,11,4,4,0,6,0,1,0,0,18,19249
Spencer Strider,ATL,0,1,2.49,10,0,0,0,0,2,1,21.2,85,14,6,6,0,9,0,0,1,0,32,27498
Hansel Robles,BOS,1,1,2.51,14,0,0,0,2,6,2,14.1,58,9,7,4,2,6,1,0,0,2,10,11801
Rony Garcia,DET,0,0,2.57,8,0,0,0,0,0,0,14.0,51,7,4,4,2,3,0,0,1,0,17,20430
Wil Crowe,PIT,2,2,2.57,13,0,0,0,1,3,1,21.0,88,14,8,6,0,10,0,2,1,0,20,19800
Aroldis Chapman,NYY,0,1,2.63,16,0,0,0,9,0,0,13.2,62,11,4,4,1,9,0,0,2,0,15,10233
David Phelps,TOR,0,0,2.63,16,0,0,0,0,3,1,13.2,53,7,4,4,0,8,0,0,2,0,13,6316
Genesis Cabrera,STL,1,1,2.65,16,0,0,0,0,5,0,17.0,72,14,6,5,4,5,0,2,0,0,13,17490
John King,TEX,1,1,2.65,17,0,0,0,0,5,0,17.0,74,16,5,5,1,7,0,1,0,0,14,22051
Kenley Jansen,ATL,2,0,2.70,16,0,0,0,9,0,1,16.2,61,7,5,5,0,4,0,0,0,0,22,3096
