"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Erasmo Ramirez","WSN","6.75","0.56","12.00","1.13","18.2%","1.5%","16.7%",".238","1.00",".265","78.9%","55","98","91","2.25","3.78","-1.53","3.45","3.12","10314"
"Ian Kennedy","ARI","7.27","4.67","1.56","0.52","17.7%","11.4%","6.3%",".243","1.50",".291","77.2%","76","100","128","3.12","3.78","-0.67","4.95","4.68","6986"
"Miguel Castro","NYY","8.76","6.57","1.33","0.00","21.4%","16.1%","5.4%",".178","1.38",".242","73.7%","80","97","127","2.92","3.82","-0.90","4.83","4.66","15684"
"Aroldis Chapman","NYY","9.88","5.93","1.67","0.66","24.2%","14.5%","9.7%",".208","1.46",".270","86.0%","72","97","117","2.63","3.82","-1.19","4.49","4.19","10233"
"Michael Rucker","CHC","9.00","3.00","3.00","1.20","24.6%","8.2%","16.4%",".232","1.20",".282","72.4%","104","100","89","4.20","3.82","0.38","3.38","3.04","19454"
"Seth Lugo","NYM","9.00","3.00","3.00","1.20","23.1%","7.7%","15.4%",".267","1.40",".326","71.4%","128","102","91","4.80","3.82","0.98","3.48","3.31","12447"
"Joe Jimenez","DET","9.20","3.07","3.00","1.23","25.0%","8.3%","16.7%",".200","1.09",".237","75.8%","100","100","100","3.68","3.84","-0.16","3.86","3.34","15761"
"Drew Steckenrider","SEA","6.23","3.46","1.80","0.69","15.0%","8.3%","6.7%",".309","1.69",".356","72.8%","138","103","114","4.85","3.86","0.99","4.35","4.42","18806"
"Nick Nelson","PHI","6.64","4.43","1.50","0.44","17.2%","11.5%","5.7%",".237","1.38",".283","79.7%","76","99","128","3.10","3.88","-0.78","4.94","4.64","20153"
"Tony Santillan","CIN","10.95","3.65","3.00","0.73","26.3%","8.8%","17.5%",".271","1.46",".375","68.0%","139","98","109","5.84","3.90","1.94","4.20","3.18","19926"
"Joe Barlow","TEX","10.13","2.70","3.75","1.35","28.8%","7.7%","21.2%",".149","0.83",".167","97.8%","37","102","94","1.35","3.91","-2.56","3.63","2.94","22296"
"Neil Pallante","STL","5.60","4.08","1.38","0.51","14.3%","10.4%","3.9%",".261","1.47",".298","97.6%","27","106","104","1.02","3.94","-2.92","3.99","3.84","26108"
"Ryne Stanek","HOU","7.36","4.91","1.50","0.61","21.1%","14.0%","7.0%",".143","1.02",".167","95.6%","34","104","120","1.23","3.98","-2.75","4.60","4.49","15947"
"Wily Peralta","DET","7.53","5.02","1.50","0.63","20.7%","13.8%","6.9%",".200","1.26",".243","90.4%","34","104","108","1.26","4.00","-2.74","4.15","4.27","7738"
"Brusdar Graterol","LAD","7.71","5.14","1.50","0.64","19.7%","13.1%","6.6%",".208","1.36",".250","62.5%","116","105","101","4.50","4.02","0.48","3.88","3.88","20367"
"Tanner Scott","MIA","14.36","6.32","2.27","1.15","35.7%","15.7%","20.0%",".175","1.34",".267","79.2%","90","109","84","3.45","4.05","-0.60","3.18","3.13","17586"
"Michael Fulmer","DET","6.46","4.70","1.38","0.59","17.5%","12.7%","4.8%",".200","1.24",".233","73.9%","95","106","127","3.52","4.07","-0.55","4.85","4.78","13218"
"Noe Ramirez","ARI","7.79","3.12","2.50","1.04","22.4%","9.0%","13.4%",".200","1.04",".233","67.9%","89","108","106","3.63","4.07","-0.44","4.09","3.65","12800"
"Colin Poche","TBR","7.50","1.50","5.00","1.50","23.8%","4.8%","19.0%",".125","0.58",".107","100.0%","43","111","98","1.50","4.09","-2.59","3.77","3.33","19403"
"Jose Ruiz","CHW","11.57","5.14","2.25","1.29","30.5%","13.6%","16.9%",".216","1.36",".290","86.4%","88","104","91","3.21","4.09","-0.88","3.52","3.32","14552"
"Diego Castillo","SEA","8.31","5.54","1.50","0.69","18.2%","12.1%","6.1%",".345","2.15",".422","48.9%","256","109","117","9.00","4.09","4.91","4.48","4.51","17496"
"Bennett Sousa","CHW","6.23","3.46","1.80","0.69","17.0%","9.4%","7.5%",".191","1.08",".216","73.5%","95","104","131","3.46","4.09","-0.63","5.01","4.39","21345"
"Steve Cishek","WSN","11.93","3.77","3.17","1.26","27.1%","8.6%","18.6%",".279","1.60",".375","73.3%","139","106","86","5.65","4.14","1.51","3.29","2.98","6483"
"Tanner Houck","BOS","10.29","3.86","2.67","1.29","28.1%","10.5%","17.5%",".180","1.07",".219","60.6%","134","110","93","5.14","4.16","0.98","3.59","3.15","19879"
"Nick Wittgren","STL","4.30","3.68","1.17","0.00","10.1%","8.7%","1.4%",".288","1.57",".327","74.1%","112","112","144","4.30","4.18","0.11","5.60","4.98","15594"
"Matt Barnes","BOS","7.11","4.26","1.67","0.71","17.2%","10.3%","6.9%",".275","1.58",".325","40.8%","185","111","132","7.11","4.19","2.91","5.03","4.42","12863"
