,PlayerId,Player,Team,Position,GP,TOI,CF,CA,CFPercentage,FF,FA,FFPercentage,SF,SA,SFPercentage,GF,GA,GFPercentage,xGF,xGA,xGFPercentage,SCF,SCA,SCFPercentage,HDCF,HDCA,HDCFPercentage,HDGF,HDGA,HDGFPercentage,MDCF,MDCA,MDCFPercentage,MDGF,MDGA,MDGFPercentage,LDCF,LDCA,LDCFPercentage,LDGF,LDGA,LDGFPercentage,On-Ice,SHPercentage,On-Ice,SVPercentage,PDO,OffZoneStarts,NeuZoneStarts,DefZoneStarts,OnTheFlyStarts,OffZoneStartPercentage,OffZoneFaceoffs,NeuZoneFaceoffsDefZoneFaceoffs,OffZoneFaceoffPercentage
25,Andrej Sekera,DAL,D,24,334.56666666667,258,369,41.15,198,272,42.13,133,191,41.05,9,13,40.91,11.06,15.22,42.09,118,179,39.73,48,67,41.74,7,6,53.85,70,112,38.46,2,5,28.57,124,156,44.29,0,2,0.00,6.77,93.19,1.000,39,59,66,286,37.14,76,80,114,40.00
310,Andrej Sustr,T.B,D,13,138.35,110,133,45.27,81,104,43.78,61,74,45.19,5,6,45.45,4.83,6.08,44.26,59,73,44.70,25,25,50.00,3,1,75.00,34,48,41.46,1,3,25.00,44,53,45.36,1,2,33.33,8.20,91.89,1.001,16,15,12,148,57.14,35,31,25,58.33
33,Andrew Cogliano,S.J,C,45,601.08333333333,424,642,39.77,329,467,41.33,224,326,40.73,19,37,33.93,20.68,30.33,40.54,203,316,39.11,83,127,39.52,9,17,34.62,120,189,38.83,4,16,20.00,177,297,37.34,4,3,57.14,8.48,88.65,0.971,77,159,180,557,29.96,130,211,308,29.68
337,Andrew Copp,WPG,C,47,961.2,1011,895,53.04,796,699,53.24,571,515,52.58,48,51,48.48,59.11,53.41,52.53,530,469,53.05,204,208,49.51,23,32,41.82,326,261,55.54,13,10,56.52,434,370,53.98,9,5,64.29,8.41,90.10,0.985,203,186,194,601,51.13,368,281,333,52.50
21,Andrew Ladd,ARI,L,42,584.38333333333,487,519,48.41,359,395,47.61,248,289,46.18,22,28,44.00,23.23,23.3,49.92,214,246,46.52,93,102,47.69,11,15,42.31,121,144,45.66,5,9,35.71,239,230,50.96,6,4,60.00,8.87,90.31,0.992,101,116,98,483,50.75,160,146,157,50.47
441,Andrew Mangiapane,CGY,L,49,780.81666666667,866,602,58.99,665,464,58.90,497,337,59.59,45,26,63.38,46.43,30.55,60.32,476,273,63.55,198,108,64.71,24,11,68.57,278,165,62.75,17,10,62.96,344,286,54.60,3,4,42.86,9.05,92.28,1.013,160,163,113,644,58.61,283,217,202,58.35
552,Andrew Peeke,CBJ,D,50,1017.8,747,1133,39.73,567,858,39.79,400,632,38.76,38,59,39.18,34.44,57.21,37.58,352,587,37.49,142,234,37.77,23,32,41.82,210,353,37.30,9,19,32.14,334,493,40.39,5,8,38.46,9.50,90.66,1.002,86,218,236,683,26.71,185,299,483,27.69
43,Andy Greene,NYI,D,38,670.95,505,710,41.56,388,518,42.83,278,380,42.25,22,33,40.00,26.2,31.67,45.27,263,363,42.01,106,127,45.49,14,16,46.67,157,236,39.95,4,10,28.57,206,318,39.31,3,7,30.00,7.91,91.32,0.992,83,130,109,585,43.23,174,192,211,45.19
476,Anthony Beauvillier,NYI,L,42,700.88333333333,634,616,50.72,468,467,50.05,355,344,50.79,30,33,47.62,34.87,30.48,53.36,369,323,53.32,141,126,52.81,17,21,44.74,228,197,53.65,10,4,71.43,244,266,47.84,2,7,22.22,8.45,90.41,0.989,136,123,78,537,63.55,240,177,159,60.15
494,Anthony Cirelli,T.B,C,44,862.01666666667,791,744,51.53,604,552,52.25,428,396,51.94,49,39,55.68,43.75,39.66,52.46,435,412,51.36,185,136,57.63,31,19,62.00,250,276,47.53,10,15,40.00,317,292,52.05,8,3,72.73,11.45,90.15,1.016,181,194,187,529,49.18,311,273,316,49.60
